SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,INTERNALMIG2005,INTERNALMIG2006,INTERNALMIG2007,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNALMIG2001,RINTERNALMIG2002,RINTERNALMIG2003,RINTERNALMIG2004,RINTERNALMIG2005,RINTERNALMIG2006,RINTERNALMIG2007,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007
040,3,6,28,Mississippi,2844658,2844656,2848424,2853579,2859196,2868343,2886860,2900456,2899112,2918785,3768,5155,5617,9147,18517,13596,-1344,19673,10306,43399,41735,41731,42742,42779,44394,44489,6695,28666,28324,28363,28369,28603,28211,28321,3611,14733,13411,13368,14373,14176,16183,16168,654,1910,1025,-845,2663,1418,2171,1433,-480,-9279,-7093,-1085,3763,148,-18486,2473,174,-7369,-6068,-1930,6426,1566,-16315,3906,-17,-2209,-1726,-2291,-2282,-2146,-1212,-401,15.222370104,14.611112813,14.572052674,14.853342271,14.783709754,15.30941615,15.293842431,10.054712353,9.9160215482,9.9040792215,9.8585575522,9.884720309,9.7286556516,9.7358203488,5.1676577511,4.6950912648,4.6679734525,4.9947847191,4.8989894452,5.580760498,5.5580220825,0.6699400193,0.3588448696,-0.295065647,0.925423482,0.4900371779,0.7486764531,0.4926178652,-3.25464578,-2.483206498,-0.378871274,1.3076862797,0.0511463345,-6.374957583,0.8501353668,-2.58470576,-2.124361628,-0.673936921,2.2331097617,0.5411835124,-5.62628113,1.342753232
040,2,4,29,Missouri,5595211,5596683,5606140,5641517,5676209,5705971,5744753,5787885,5837639,5878415,9457,35377,34692,29762,38782,43132,49754,40776,18815,75678,75239,75893,77947,78143,80487,81594,12423,54839,55533,55122,55371,54577,53223,53852,6392,20839,19706,20771,22576,23566,27264,27742,2276,8505,7474,4782,7792,6692,7528,6760,784,1356,3787,5664,4636,7977,10670,6205,3060,9861,11261,10446,12428,14669,18198,12965,5,4677,3725,-1455,3778,4897,4292,69,13.456669242,13.295780442,13.33540675,13.614335652,13.551626263,13.846601667,13.928580391,9.7511864026,9.8134554592,9.6856665419,9.6711788704,9.4647902761,9.1562324417,9.1928562296,3.7054828397,3.482324983,3.6497402079,3.9431567821,4.0868359867,4.6903692255,4.7357241611,1.5123149648,1.3207600184,0.8402608288,1.3609619793,1.1605323951,1.2950814088,1.153972148,0.2411168833,0.6692157064,0.9952399277,0.809730459,1.3833782002,1.8356161838,1.0592303518,1.7534318481,1.9899757248,1.8355007564,2.1706924383,2.5439105953,3.1306975926,2.2132024997
040,4,8,30,Montana,902195,902195,903329,906098,910282,917453,926721,935784,946795,957861,1134,2769,4184,7171,9268,9063,11011,11066,2862,10917,10931,11217,11456,11587,12054,12393,1946,8189,8361,8410,8443,8447,7709,8065,916,2728,2570,2807,3013,3140,4345,4328,114,412,199,-202,556,303,433,284,97,-287,1424,4758,6004,5775,6212,6463,211,125,1623,4556,6560,6078,6645,6747,7,-84,-9,-192,-305,-155,21,-9,12.066803469,12.036027703,12.274208241,12.423990361,12.442382705,12.805837099,13.013373544,9.0514842544,9.2062233674,9.202646992,9.1564028123,9.0705796763,8.1898289527,8.4687208609,3.0153192143,2.8298043361,3.0715612493,3.2675875487,3.3718030287,4.6160081463,4.5446526827,0.4553927846,0.2191171451,-0.221038608,0.6029799791,0.325368254,0.460007256,0.2982165808,-0.317227498,1.5679538423,5.2064440414,6.5113161773,6.201325634,6.5994574464,6.7865273309,0.1381652866,1.7870709873,4.9854054335,7.1142961564,6.5266938881,7.0594647024,7.0847439118
040,2,4,31,Nebraska,1711263,1711265,1713322,1718280,1725545,1734746,1743954,1754042,1763765,1774571,2057,4958,7265,9201,9208,10088,9723,10806,6103,24739,24886,25702,26348,26276,26394,27116,3392,15135,15567,15428,15277,14866,14790,15114,2711,9604,9319,10274,11071,11410,11604,12002,1173,4524,4007,2816,3967,3479,3849,3583,-1855,-8337,-5364,-2622,-5091,-3493,-5086,-4869,-682,-3813,-1357,194,-1124,-14,-1237,-1286,28,-833,-697,-1267,-739,-1308,-644,90,14.418338723,14.452534609,14.855398,15.148187541,15.023459146,15.00593978,15.326978557,8.8209530126,9.0405290629,8.9171691051,8.7831661253,8.4997238419,8.408647774,8.5429987429,5.5973857108,5.4120055462,5.9382288946,6.365021416,6.5237353044,6.5972920061,6.7839798142,2.636669404,2.3270636574,1.6276087763,2.2807370569,1.9891389241,2.1882951509,2.0252457652,-4.858955089,-3.115140868,-1.515479478,-2.926955472,-1.997143507,-2.891574211,-2.752141119,-2.222285685,-0.788077211,0.1121292978,-0.646218415,-0.008004583,-0.70327906,-0.726895354
040,4,8,32,Nevada,1998257,1998257,2018494,2095331,2167645,2238336,2329960,2408948,2492427,2565382,20237,76837,72314,70691,91624,78988,83479,72955,7384,30997,32010,32969,34407,35763,37977,39993,3690,15569,16831,17000,17836,18198,18718,19168,3694,15428,15179,15969,16571,17565,19259,20825,3538,13638,12843,10368,11153,10699,11360,10979,13259,47986,44308,43661,67341,52648,54142,41338,16797,61624,57151,54029,78494,63347,65502,52317,-254,-215,-16,693,-3441,-1924,-1282,-187,15.069673601,15.017677791,14.965566125,15.063384684,15.09335062,15.496467828,15.814357561,7.5691114717,7.8963616028,7.7167831636,7.8086008437,7.6802503868,7.6378567239,7.5795665673,7.5005621289,7.1213161885,7.2487829612,7.2547838406,7.4131002332,7.858611104,8.2347909935,6.6303257917,6.0253681935,4.706329873,4.8827834273,4.5153862451,4.6354339344,4.3414055375,23.329140155,20.787356063,19.818968806,29.481889965,22.219464906,22.092576063,16.346208408,29.959465947,26.812724256,24.525298679,34.364673392,26.734851151,26.728009997,20.687613945
040,1,1,33,New Hampshire,1235786,1235786,1240442,1257347,1272185,1282844,1294285,1303112,1311821,1315828,4656,16905,14838,10659,11441,8827,8709,4007,3787,14509,14651,14511,14669,15479,15548,14540,2276,9838,9853,9629,10031,10174,10277,10155,1511,4671,4798,4882,4638,5305,5271,4385,589,2255,2118,1736,1798,1752,1867,1813,2503,10896,8721,5360,5732,2823,2036,-2389,3092,13151,10839,7096,7530,4575,3903,-576,53,-917,-799,-1319,-727,-1053,-465,198,11.617474494,11.583960986,11.358775184,11.383985823,11.918855685,11.891700476,11.066927128,7.8773667431,7.7903738715,7.5372921403,7.7846316579,7.8339968823,7.8602396314,7.729342846,3.7401077513,3.7935871141,3.8214830438,3.599354165,4.0848588029,4.0314608443,3.3375842816,1.8055968699,1.6746180716,1.3588886858,1.3953511834,1.3490429072,1.4279524561,1.379940776,8.7245159619,6.8953466491,4.1956470944,4.4483609474,2.1737146844,1.55721007,-1.818355496,10.530112832,8.5699647207,5.5545357802,5.8437121308,3.5227575915,2.9851625262,-0.43841472
040,1,2,34,New Jersey,8414350,8414347,8431951,8495644,8558327,8604990,8641235,8657445,8666075,8685920,17604,63693,62683,46663,36245,16210,8630,19845,27265,112158,112827,115943,116463,111945,109967,112983,16790,72782,74829,73374,73662,72320,72020,72514,10475,39376,37998,42569,42801,39625,37947,40469,15451,59861,57947,50092,47253,47585,49386,48944,-8396,-32054,-30805,-41905,-50739,-67809,-76291,-69160,7055,27807,27142,8187,-3486,-20224,-26905,-20216,74,-3490,-2457,-4093,-3070,-3191,-2412,-408,13.251498515,13.231756991,13.510558594,13.505912163,12.942606025,12.695687712,13.022479548,8.5992132964,8.7755514537,8.5500955322,8.542391161,8.3613316161,8.3147074036,8.3580014863,4.6522852183,4.4562055371,4.960463062,4.9635210024,4.5812744094,4.3809803089,4.6644780615,7.0725935964,6.7957193078,5.8371001363,5.4798079,5.5015758428,5.7016126053,5.6413109847,-3.787188907,-3.612648339,-4.883088741,-5.884070282,-7.839788932,-8.807794259,-7.971417696,3.2854046898,3.1830709692,0.9540113953,-0.404262382,-2.338213089,-3.106181654,-2.330106711
040,4,8,35,New Mexico,1819046,1819046,1820861,1829032,1850562,1870113,1892182,1916331,1942302,1969915,1815,8171,21530,19551,22069,24149,25971,27613,6552,27269,27353,27790,28034,28820,29063,30032,3143,13898,14335,14313,14740,14626,14934,15309,3409,13371,13018,13477,13294,14194,14129,14723,1539,5597,4860,3082,5118,4322,4886,4386,-3168,-9374,4649,4502,5012,7053,7751,8530,-1629,-3777,9509,7584,10130,11375,12637,12916,35,-1423,-997,-1510,-1355,-1420,-795,-26,14.942355844,14.867401132,14.938149664,14.902605989,15.134515755,15.063884023,15.352931599,7.6155657166,7.7916204886,7.6937652442,7.8356428722,7.6806879745,7.7405651172,7.8262529916,7.3267901278,7.0757806432,7.2443844195,7.0669631169,7.45382778,7.3233189059,7.526678607,3.0669392226,2.6415957848,1.6566886385,2.7206797978,2.2696522238,2.5325030911,2.2422069123,-5.136588936,2.5269092188,2.4199909963,2.6643312127,3.7038077591,4.0174849487,4.3606988058,-2.069649713,5.1685050035,4.0766796347,5.3850110106,5.9734599829,6.5499880398,6.6029057182
040,1,2,36,New York,18976457,18976821,18996571,19076610,19132542,19207652,19258479,19262545,19281988,19297729,19750,80039,55932,75110,50827,4066,19443,15741,63758,256505,251971,252284,252920,247149,246414,249203,37024,157302,158752,156000,154857,152719,150849,153730,26734,99203,93219,96284,98063,94430,95565,95473,34902,137112,132729,114754,107554,108765,112571,111607,-36823,-166026,-179962,-187513,-209097,-250480,-229503,-189765,-1921,-28914,-47233,-72759,-101543,-141715,-116932,-78158,-5063,9750,9946,51585,54307,51351,40810,-1574,13.474314111,13.189039108,13.16028813,13.150269779,12.831901873,12.785937762,12.918860965,8.2631393474,8.3096322054,8.1376740034,8.0516025903,7.9291246256,7.8272578889,7.9694726636,5.2111747637,4.8794069023,5.0226141266,5.0986671885,4.902777247,4.958679873,4.9493883016,7.2025502676,6.9474978141,5.9860938627,5.5921402649,5.6470461429,5.841087762,5.7857863499,-8.721414688,-9.419837425,-9.781536317,-10.87174585,-13.00484639,-11.90845924,-9.837552722,-1.518864421,-2.472339611,-3.795442454,-5.279605583,-7.35780025,-6.067371474,-4.051766372
040,3,5,37,North Carolina,8049313,8046491,8079777,8203565,8319293,8421149,8538378,8679089,8869442,9061032,33286,123788,115728,101856,117229,140711,190353,191590,28614,119873,118055,117454,119011,121597,126709,128849,16648,71905,71162,72244,73685,74552,72838,74229,11966,47968,46893,45210,45326,47045,53871,54620,9834,31197,26116,12266,31204,25066,28777,24465,11008,46437,44073,47702,44727,73898,111099,111963,20842,77634,70189,59968,75931,98964,139876,136428,478,-1814,-1354,-3322,-4028,-5298,-3394,542,14.723390321,14.289900694,14.032365454,14.034707454,14.124841941,14.440980843,14.372068468,8.8317250844,8.6137640353,8.6310743767,8.689511211,8.6600427345,8.301321632,8.2796472642,5.8916652368,5.6761366587,5.401291077,5.3451962428,5.4647992065,6.1396592114,6.0924212043,3.8317686873,3.1611964468,1.4654332305,3.6798196082,2.9116942695,3.2797047229,2.7288737598,5.703620301,5.3347913539,5.6990132041,5.2745574803,8.5840733715,12.66191455,12.488571133,9.5353889883,8.4959878007,7.1644464346,8.9543770885,11.495767641,15.941619273,15.217444893
